epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9659,0.96917,5.689,0.36478,0.45595,0.51479,0.40511,0.21547,0.79413,0.60784,0.37449,0.000649123,0.000649123,0.000649123
2,98.9016,0.52207,0.69931,0.15765,0.41152,0.45103,0.4031,0.19142,0.5655,0.93765,0.23132,0.00128974,0.00128974,0.00128974
3,141.212,0.5099,0.63859,0.15544,0.26497,0.04734,0.0188,0.00653,1.75157,0.38766,0.83663,0.00190395,0.00190395,0.00190395
4,183.176,0.50388,0.58275,0.14457,0.76642,0.80473,0.76411,0.39832,0.46387,0.62854,0.17692,0.0018812,0.0018812,0.0018812
5,225.373,0.47999,0.65657,0.13383,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,267.297,0.48958,0.79736,0.13851,0.713,0.86391,0.77555,0.43228,0.43039,nan,0.16306,0.001802,0.001802,0.001802
7,309.527,0.46344,0.61418,0.13507,0.76078,0.8092,0.74388,0.38973,0.45464,0.6773,0.17581,0.0017624,0.0017624,0.0017624
8,351.623,0.44915,0.55914,0.12124,0.66203,0.81065,0.69863,0.39293,0.42467,0.70654,0.15578,0.0017228,0.0017228,0.0017228
9,393.673,0.45131,0.64275,0.12958,0.65845,0.53846,0.48602,0.28728,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,435.5,0.45675,0.58252,0.12695,0.71239,0.39053,0.35166,0.20175,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,477.375,0.46927,0.55157,0.13424,0.8015,0.74067,0.76491,0.42372,0.48387,0.58415,0.19436,0.001604,0.001604,0.001604
12,519.186,0.42534,0.53651,0.11575,0.81296,0.89349,0.82805,0.46765,0.43391,0.52598,0.1598,0.0015644,0.0015644,0.0015644
13,561.474,0.42396,0.53955,0.11436,0.73159,0.93491,0.82813,0.50002,0.40571,0.50511,0.15074,0.0015248,0.0015248,0.0015248
14,603.402,0.43098,0.52684,0.11806,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,645.3,0.37919,0.51482,0.10682,0.74471,0.74556,0.68133,0.40108,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,687.207,0.38974,0.53234,0.10922,0.72314,0.90533,0.80679,0.48237,0.39689,0.54955,0.14758,0.001406,0.001406,0.001406
17,729.231,0.38679,0.53627,0.10542,0.79351,0.91716,0.81326,0.4646,0.43539,0.49918,0.16458,0.0013664,0.0013664,0.0013664
18,771.103,0.39503,0.50221,0.10746,0.76158,0.92308,0.84042,0.51654,0.39644,0.51429,0.14917,0.0013268,0.0013268,0.0013268
19,813.536,0.39706,0.51408,0.1022,0.80696,0.85799,0.82641,0.4742,0.42185,0.57425,0.15258,0.0012872,0.0012872,0.0012872
20,855.4,0.41462,0.5019,0.11389,0.76216,0.91124,0.82592,0.50633,0.38853,0.52453,0.1453,0.0012476,0.0012476,0.0012476
21,897.428,0.39804,0.53278,0.10506,0.79522,0.89613,0.8394,0.51037,0.40407,0.50906,0.14879,0.001208,0.001208,0.001208
22,939.37,0.36987,0.53427,0.1023,0.82852,0.85207,0.83876,0.48693,0.43097,0.52081,0.17227,0.0011684,0.0011684,0.0011684
23,981.287,0.38065,0.48964,0.10494,0.75948,0.93491,0.82611,0.48295,0.43276,0.56423,0.16679,0.0011288,0.0011288,0.0011288
24,1023.18,0.35677,0.4995,0.09466,0.81535,0.85799,0.83896,0.49724,0.40898,0.52478,0.14912,0.0010892,0.0010892,0.0010892
25,1065.02,0.36248,0.45815,0.09679,0.81792,0.92308,0.84143,0.51616,0.38766,0.4936,0.14673,0.0010496,0.0010496,0.0010496
26,1106.89,0.35268,0.47543,0.10193,0.79876,0.93491,0.84354,0.50928,0.39916,0.46874,0.15143,0.00101,0.00101,0.00101
