epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.80434,1.88592,4.34606,1.59128,0.00124,0.44379,0.00059,0.00022,1.61796,5.21096,1.68336,0.000649123,0.000649123,0.000649123
2,17.3028,1.53945,2.66617,1.30394,0.00217,0.77515,0.0745,0.03635,1.78192,4.69516,1.72755,0.00128974,0.00128974,0.00128974
3,24.8841,1.52427,2.23423,1.30424,0.50463,0.33756,0.34456,0.18545,1.73076,3.25095,1.5728,0.00190395,0.00190395,0.00190395
4,32.7132,1.56118,2.10712,1.33593,0.467,0.40237,0.38559,0.16766,1.95311,2.69664,1.67741,0.0018812,0.0018812,0.0018812
5,40.4452,1.5059,1.82828,1.32125,0.69314,0.62821,0.66849,0.32449,1.62356,2.11363,1.41349,0.0018416,0.0018416,0.0018416
6,48.2481,1.51768,1.64497,1.32498,0.61114,0.74556,0.67652,0.34042,1.59729,1.96587,1.46231,0.001802,0.001802,0.001802
7,55.8581,1.50298,1.62142,1.35283,0.66867,0.85207,0.74068,0.39951,1.51923,1.58925,1.40686,0.0017624,0.0017624,0.0017624
8,63.5116,1.48599,1.39649,1.34278,0.78223,0.81657,0.80517,0.43607,1.56581,1.37625,1.41406,0.0017228,0.0017228,0.0017228
9,71.2214,1.42346,1.33946,1.31771,0.71219,0.81998,0.79297,0.43624,1.50251,1.40798,1.40699,0.0016832,0.0016832,0.0016832
10,78.6833,1.46116,1.34119,1.30757,0.69959,0.88166,0.80641,0.45488,1.46309,1.31751,1.3384,0.0016436,0.0016436,0.0016436
11,86.5112,1.43909,1.25689,1.30132,0.73851,0.76874,0.73481,0.37586,1.57301,1.32883,1.43312,0.001604,0.001604,0.001604
12,94.0664,1.42356,1.23009,1.26979,0.78674,0.85799,0.82074,0.43521,1.54789,1.2348,1.3409,0.0015644,0.0015644,0.0015644
13,101.715,1.4219,1.14422,1.29233,0.77392,0.80473,0.8291,0.46147,1.41732,1.13148,1.33687,0.0015248,0.0015248,0.0015248
14,109.227,1.39272,1.13869,1.25996,0.75511,0.91124,0.80525,0.46595,1.45766,1.06642,1.29761,0.0014852,0.0014852,0.0014852
15,116.925,1.33037,1.09038,1.24783,0.80225,0.8402,0.83345,0.46205,1.51629,1.11344,1.32146,0.0014456,0.0014456,0.0014456
16,124.443,1.36042,1.06601,1.24635,0.75821,0.87209,0.83046,0.46155,1.47484,1.11032,1.35566,0.001406,0.001406,0.001406
17,132.083,1.32787,1.08073,1.23923,0.78602,0.83432,0.80477,0.43906,1.54581,1.18299,1.46233,0.0013664,0.0013664,0.0013664
18,139.631,1.35097,0.99999,1.2531,0.78247,0.87574,0.82973,0.46601,1.45653,1.02262,1.37514,0.0013268,0.0013268,0.0013268
19,147.45,1.35112,1.05336,1.23572,0.75475,0.92308,0.8074,0.46242,1.471,1.01711,1.32664,0.0012872,0.0012872,0.0012872
20,155.226,1.38663,0.99377,1.2628,0.7948,0.89386,0.82355,0.47923,1.39732,0.95035,1.32813,0.0012476,0.0012476,0.0012476
21,162.752,1.35458,1.0751,1.25071,0.82007,0.89,0.822,0.46756,1.4389,1.00215,1.3385,0.001208,0.001208,0.001208
22,170.663,1.28941,1.0304,1.25127,0.80809,0.87207,0.85215,0.51425,1.35389,0.94022,1.33283,0.0011684,0.0011684,0.0011684
23,178.536,1.27913,0.94311,1.23611,0.79514,0.91868,0.83133,0.47899,1.47013,0.94954,1.45245,0.0011288,0.0011288,0.0011288
24,186.114,1.23336,0.93698,1.18665,0.81887,0.88757,0.85584,0.51363,1.39858,0.94003,1.36687,0.0010892,0.0010892,0.0010892
25,193.635,1.2788,0.85162,1.21571,0.82636,0.92928,0.84029,0.51189,1.34753,0.90161,1.30171,0.0010496,0.0010496,0.0010496
26,201.456,1.274,0.92056,1.22902,0.80029,0.90104,0.83529,0.50364,1.33409,0.88566,1.30243,0.00101,0.00101,0.00101
27,209.09,1.24742,0.82157,1.21462,0.84522,0.90472,0.85859,0.51252,1.4095,0.88469,1.40397,0.0009704,0.0009704,0.0009704
28,216.508,1.26408,0.86949,1.22086,0.77666,0.92594,0.84338,0.50124,1.36236,0.945,1.30416,0.0009308,0.0009308,0.0009308
29,224.298,1.22379,0.84235,1.18081,0.74382,0.93491,0.85412,0.51723,1.35464,0.8902,1.31507,0.0008912,0.0008912,0.0008912
30,231.842,1.25272,0.8877,1.18536,0.8233,0.89349,0.84669,0.50831,1.42059,0.8742,1.32011,0.0008516,0.0008516,0.0008516
31,239.707,1.20968,0.86347,1.14623,0.78982,0.89941,0.86377,0.50582,1.413,0.89181,1.35536,0.000812,0.000812,0.000812
32,247.102,1.2085,0.86757,1.17582,0.81329,0.91716,0.88193,0.53561,1.34247,0.82868,1.29852,0.0007724,0.0007724,0.0007724
33,255.109,1.21908,0.83108,1.18637,0.82792,0.91103,0.88263,0.529,1.36031,0.81415,1.33049,0.0007328,0.0007328,0.0007328
34,262.672,1.14315,0.8353,1.16512,0.83071,0.92913,0.87766,0.52778,1.35856,0.79079,1.35606,0.0006932,0.0006932,0.0006932
35,270.337,1.19749,0.79146,1.157,0.83736,0.91397,0.86482,0.51497,1.36108,0.84163,1.34971,0.0006536,0.0006536,0.0006536
36,277.719,1.14242,0.71381,1.12878,0.83024,0.89349,0.8729,0.5168,1.38085,0.82348,1.35552,0.000614,0.000614,0.000614
37,285.337,1.18088,0.753,1.14541,0.8209,0.89349,0.85543,0.51171,1.37161,0.82588,1.3734,0.0005744,0.0005744,0.0005744
38,292.998,1.13366,0.78889,1.1436,0.80634,0.89941,0.84178,0.5092,1.39074,0.88567,1.32787,0.0005348,0.0005348,0.0005348
39,300.697,1.12428,0.78491,1.1343,0.80349,0.92899,0.86678,0.51433,1.38469,0.82171,1.34392,0.0004952,0.0004952,0.0004952
40,308.544,1.13026,0.73211,1.12717,0.80964,0.93118,0.86506,0.52531,1.34238,0.80533,1.33346,0.0004556,0.0004556,0.0004556
41,317.478,1.06203,0.66703,1.13492,0.80762,0.89426,0.88177,0.53577,1.33429,0.82021,1.31499,0.000416,0.000416,0.000416
42,324.824,1.07561,0.65685,1.12142,0.8198,0.92899,0.88169,0.53668,1.35606,0.82238,1.33039,0.0003764,0.0003764,0.0003764
43,332.205,1.06299,0.6327,1.14636,0.81805,0.92308,0.88316,0.54332,1.33237,0.79141,1.3283,0.0003368,0.0003368,0.0003368
44,339.235,1.02652,0.63906,1.11506,0.84112,0.92899,0.87956,0.52825,1.36239,0.8219,1.38337,0.0002972,0.0002972,0.0002972
45,346.435,1.00761,0.62404,1.11116,0.83789,0.91749,0.87335,0.53044,1.34786,0.77124,1.36065,0.0002576,0.0002576,0.0002576
46,353.709,1.00369,1.11366,1.08662,0.84026,0.93378,0.87517,0.5322,1.37946,0.76263,1.38362,0.000218,0.000218,0.000218
47,361.172,0.99558,0.57091,1.08496,0.82898,0.91124,0.88655,0.54286,1.35716,0.77704,1.374,0.0001784,0.0001784,0.0001784
48,368.518,1.01355,0.63146,1.1122,0.83053,0.92899,0.88194,0.53757,1.37951,0.78549,1.40034,0.0001388,0.0001388,0.0001388
49,375.666,1.00225,0.6032,1.10416,0.83927,0.92308,0.88703,0.54034,1.3414,0.76059,1.35387,9.92e-05,9.92e-05,9.92e-05
50,382.81,1.01231,0.58925,1.07936,0.84091,0.91124,0.88632,0.54146,1.35436,0.7547,1.36525,5.96e-05,5.96e-05,5.96e-05
