model,quadrant,confidence_type,ece,mce,dece,rmsd,n_predictions,n_bins_populated
yolov8,1,raw,0.03801589639845623,0.6217226982116699,0.06910296694870707,0.09056298377703685,316,14
yolov8,1,ts,0.048883819638913306,0.5655829659268248,0.09666568200143241,0.1097586711324523,316,13
yolov8,1,dcn,0.08184708160336449,0.5819472074508667,0.12789877184041887,0.10207146665623608,316,14
yolov8,2,raw,0.12864061770960689,0.7663119286298752,0.16301447168959507,0.17120125229065505,157,12
yolov8,2,ts,0.11280495379251042,0.4134523012207054,0.19082822779077221,0.1594605032184178,157,11
yolov8,2,dcn,0.07837038157377274,0.7003951370716095,0.19797034255543333,0.14198680808442904,157,14
yolov8,3,raw,0.07237777451580844,0.7845285460352898,0.13350746797043528,0.1241323579749166,188,13
yolov8,3,ts,0.09258590866687492,0.45864361685664223,0.16826321324932422,0.14590430380644348,188,13
yolov8,3,dcn,0.14963540601286485,0.7135782241821289,0.22780903389162202,0.2011091976029941,188,15
yolov8,4,raw,0.06401525141329181,0.9087256863713264,0.10531486959044575,0.11789183756848504,196,12
yolov8,4,ts,0.08067253750771988,0.8125550269134303,0.1333072013040077,0.15745891603693188,196,11
yolov8,4,dcn,0.09202785761456707,0.6210336089134216,0.15679051417249196,0.1144098319037294,196,13
rtdetr,1,raw,0.015472849119870707,0.5773268938064575,0.03970416066626721,0.033212347077151476,3062,13
rtdetr,1,ts,0.00959751749936629,0.5834235655751464,0.03406862054851961,0.02935638430734592,3062,12
rtdetr,1,dcn,0.1122577661202316,0.7087142942473292,0.11693773957583134,0.23832964678312735,3062,15
rtdetr,2,raw,0.013380853343993377,0.7549814581871033,0.034550811676776386,0.029776090993339947,3782,12
rtdetr,2,ts,0.00808814245035843,0.49831964125536987,0.029439425822100726,0.02732021663051976,3782,11
rtdetr,2,dcn,0.07971323428598497,0.871251517906785,0.08480725666427104,0.1987217863236336,3782,15
rtdetr,3,raw,0.016525467852515546,0.6865483820438385,0.05430314788493622,0.06146308699691557,1969,13
rtdetr,3,ts,0.01858982656819142,0.6998920950364066,0.049229063483634684,0.05798374543784621,1969,13
rtdetr,3,dcn,0.14453065851290597,0.7018009762506228,0.15531579391417602,0.2583915473136582,1969,15
rtdetr,4,raw,0.015942372900803508,0.6002846360206604,0.051995733958761614,0.0358321124114655,1237,12
rtdetr,4,ts,0.018025726189682643,0.8191472648797495,0.047208705826081304,0.03977353953686229,1237,12
rtdetr,4,dcn,0.1812493317540684,0.7867221501138475,0.1881058356030517,0.28362183944147884,1237,15
